type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number,latitude,longitude
Найпростіше укриття,,152,так,Львівський,Львівська,Львів,Княгині Ольги,26,49.823817,24.006737464566484
Найпростіше укриття,,200,так,Львівський,Львівська,Львів,Тараса Шевченка,311А,49.8675647,23.949440336980523
Найпростіше укриття,,480,так,Золочівський,Бродівська,Суховоля,Центральний,1,,
Найпростіше укриття,,420,так,Львівський,Львівська,Львів,Низинна,52,49.8401815,23.970517867039607
Найпростіше укриття,,600,так,Львівський,Львівська,Брюховичі,Широка,6,,
Найпростіше укриття,,45,так,Львівський,Львівська,Львів,Беринди,1,49.84077565,24.029466510828613
Найпростіше укриття,,250,так,Львівський,Львівська,Львів,Княгині Ольги,34А,49.823480200000006,24.006166575827685
Найпростіше укриття,,46,так,Львівський,Львівська,Львів,Проста,21,49.8299922,23.975907550000002
Найпростіше укриття,,400,так,Львівський,Львівська,Львів,Городоцька,319А,49.826609250000004,23.94919552368289
Найпростіше укриття,,300,так,Львівський,Львівська,Львів,Золота,15А,49.8476646,24.009217012072433
Найпростіше укриття,,136,так,Львівський,Львівська,Львів,Котляревського,9,49.8328093,24.01582144533582
Найпростіше укриття,,25,так,Львівський,Львівська,Львів,Братів Рогатинців,3,49.83997905,24.030817011850477
Найпростіше укриття,,200,так,Львівський,Львівська,Львів,Низинна,60,49.8382615,23.971300869983644
Найпростіше укриття,,184,так,Львівський,Львівська,Львів,Княгині Ольги,34Б,49.8234997,24.00557731976546
Найпростіше укриття,,310,так,Львівський,Львівська,Львів,Інструментальна,45,49.8707675,24.026104936546183
Найпростіше укриття,,105,так,Львівський,Львівська,Львів,Котляревського,14,49.83243095,24.014249832640587
Найпростіше укриття,,41,так,Львівський,Львівська,Львів,Братів Рогатинців,4,49.8399396,24.031465308164982
Найпростіше укриття,,1000,так,Львівський,Львівська,Львів,В'ячеслава Липинського,28,49.86010145,24.027964499429345
Найпростіше укриття,,21,так,Львівський,Львівська,Львів,Братів Рогатинців,7,49.84004265,24.03127599994314
Найпростіше укриття,,900,так,Львівський,Львівська,Львів,Авраама Лінкольна,6Б,49.864338700000005,24.02998080065492
Найпростіше укриття,,139,так,Львівський,Львівська,Львів,Повстанська,5,49.8269164,23.99942
Найпростіше укриття,,65,так,Львівський,Львівська,Львів,Котляревського,23,49.8320605,24.01415491312978
Найпростіше укриття,,1200,так,Львівський,Львівська,Львів,Гетьмана Івана Мазепи,2Б,49.86913505,24.027849049470902
Найпростіше укриття,,41,так,Львівський,Львівська,Львів,Гіпсова,32А,49.826923949999994,23.995481799999993
Найпростіше укриття,,21,так,Львівський,Львівська,Львів,Валова,4,49.839452449999996,24.03129666421875
Найпростіше укриття,,143,так,Львівський,Львівська,Львів,Одеська,10,49.8398761,24.00876021831997
